locus_tag,start,end,length,strand,old_locus_tag,ncbi_protein,gene_name,gene_product,Eggnog_description,COG_category,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,ENTRAF_TF,ENTRAF_hmm_acc,ENTRAF_hmm_name,ENTRAF_Ortholog,DeepTFactor_TF,DeepTFactor_score,P2TF_TF,P2TF_class,P2TF_type,P2TF_description
SYNPCC7942_RS06240,1240557,1241411,855,-,Synpcc7942_1218,WP_011377921.1,kaiA,circadian clock protein KaiA,"Component of the KaiABC clock protein complex, which constitutes the main circadian regulator in cyanobacteria. The KaiABC complex may act as a promoter-nonspecific transcription regulator that represses transcription, possibly by acting on the state of chromosome compaction. In the complex, it enhances the phosphorylation status of KaiC. In contrast, the presence of KaiB in the complex decreases the phosphorylation status of KaiC, suggesting that KaiB acts by antagonizing the interaction between KaiA and KaiC. A KaiA dimer is sufficient to enhance KaiC hexamer phosphorylation",S,"GO:0003674,GO:0005488,GO:0005515,GO:0007623,GO:0008150,GO:0009605,GO:0009649,GO:0009892,GO:0010563,GO:0010605,GO:0019220,GO:0019222,GO:0031323,GO:0031324,GO:0031399,GO:0031400,GO:0032268,GO:0032269,GO:0035303,GO:0035304,GO:0035305,GO:0035308,GO:0042752,GO:0042753,GO:0042802,GO:0045936,GO:0048511,GO:0048518,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051174,GO:0051246,GO:0051248,GO:0060255,GO:0065007,GO:0080090",,ko:K08480,,,,,ko00000,,,,KaiA,False,,,,False,0.0342,False,,,
SYNPCC7942_RS06245,1241649,1242032,384,+,Synpcc7942_1219,WP_011377922.1,rplU,50S ribosomal protein L21,This protein binds to 23S rRNA in the presence of protein L20,J,"GO:0003674,GO:0003735,GO:0005198",,ko:K02888,"ko03010,map03010",M00178,,,"br01610,ko00000,ko00001,ko00002,ko03011",,,,Ribosomal_L21p,False,,,,False,0.0144,False,,,
SYNPCC7942_RS06250,1242067,1242333,267,+,Synpcc7942_1220,WP_011242644.1,rpmA,50S ribosomal protein L27,Belongs to the bacterial ribosomal protein bL27 family,J,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904",,ko:K02899,"ko03010,map03010",M00178,,,"br01610,ko00000,ko00001,ko00002,ko03011",,,,Ribosomal_L27,False,,,,False,0.0076,False,,,
SYNPCC7942_RS06255,1242455,1242832,378,-,Synpcc7942_1221,WP_011377923.1,,response regulator,response regulator,T,,,ko:K02658,"ko02020,ko02025,map02020,map02025",M00507,,,"ko00000,ko00001,ko00002,ko02022,ko02035,ko02044",,,,Response_reg,False,,,,False,0.0969,False,,,
SYNPCC7942_RS06260,1242925,1243809,885,+,Synpcc7942_1222,WP_011242642.1,truB,tRNA pseudouridine(55) synthase TruB,Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs,J,"GO:0001522,GO:0003674,GO:0003824,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009982,GO:0009987,GO:0010467,GO:0016070,GO:0016071,GO:0016556,GO:0016853,GO:0016866,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:1901360,GO:1990481",5.4.99.25,ko:K03177,,,,,"ko00000,ko01000,ko03016",,,,"TruB-C_2,TruB_C_2,TruB_N",False,,,,False,0.0104,False,,,
SYNPCC7942_RS06265,1243830,1245008,1179,-,Synpcc7942_1223,WP_011377924.1,devC,ABC transporter permease DevC,"ABC-type antimicrobial peptide transport system, permease component",V,,,ko:K02004,,M00258,,,"ko00000,ko00002,ko02000",3.A.1,,,"FtsX,MacB_PCD",False,,,,False,0.0058,False,,,
SYNPCC7942_RS06270,1244992,1246092,1101,-,Synpcc7942_1224,WP_011242640.1,devB,HlyD family efflux transporter periplasmic adaptor subunit,"ABC exporter membrane fusion protein, DevB family",M,,,ko:K02005,,,,,ko00000,,,,"Biotin_lipoyl_2,HlyD_3,HlyD_D23",False,,,,False,0.0056,False,,,
SYNPCC7942_RS06275,1246181,1246927,747,-,Synpcc7942_1225,WP_011377925.1,pcyA,phycocyanobilin:ferredoxin oxidoreductase,Catalyzes the four-electron reduction of biliverdin IX- alpha (2-electron reduction at both the A and D rings),C,,1.3.7.5,ko:K05371,"ko00860,ko01110,map00860,map01110",,R05817,RC01573,"ko00000,ko00001,ko01000",,,,Fe_bilin_red,False,,,,False,0.3969,False,,,
SYNPCC7942_RS06280,1247164,1248369,1206,+,Synpcc7942_1226,WP_196794071.1,,insulinase family protein,peptidase,S,,,,,,,,,,,,"Peptidase_M16,Peptidase_M16_C",False,,,,False,0.0136,False,,,
SYNPCC7942_RS06290,1248593,1249327,735,-,Synpcc7942_1227,WP_011242637.1,radC,DNA repair protein RadC,Belongs to the UPF0758 family,E,,,ko:K03630,,,,,ko00000,,,,"HHH,RadC",False,,,,False,0.0092,False,,,
SYNPCC7942_RS06295,1249355,1250224,870,+,Synpcc7942_1228,WP_011377927.1,,DMT family transporter,EamA-like transporter family,EG,,,,,,,,,,,,EamA,False,,,,False,0.0353,False,,,
SYNPCC7942_RS06300,1250193,1251023,831,-,Synpcc7942_1229,WP_011242635.1,cobM,precorrin-4 C(11)-methyltransferase,Belongs to the precorrin methyltransferase family,H,,"2.1.1.133,2.1.1.271",ko:K05936,"ko00860,ko01100,map00860,map01100",,"R05181,R05810","RC00003,RC01294,RC02049","ko00000,ko00001,ko01000",,,,TP_methylase,False,,,,False,0.0114,False,,,
SYNPCC7942_RS06305,1250977,1251846,870,-,Synpcc7942_1230,WP_011377929.1,lgt,prolipoprotein diacylglyceryl transferase,Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins,M,,,ko:K13292,,,,,"ko00000,ko01000",,,,LGT,False,,,,False,0.0088,False,,,
SYNPCC7942_RS06310,1251930,1252904,975,-,Synpcc7942_1231,WP_011242633.1,petA,apocytochrome f,"Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions",C,,,ko:K02634,"ko00195,ko01100,map00195,map01100",M00162,,,"ko00000,ko00001,ko00002,ko00194",,,,"Apocytochr_F_C,Apocytochr_F_N",False,,,,False,0.0124,False,,,
SYNPCC7942_RS06315,1252950,1253489,540,-,Synpcc7942_1232,WP_011242632.1,petC,cytochrome b6-f complex iron-sulfur subunit,"Component of the cytochrome b6-f complex, which mediates electron transfer between photosystem II (PSII) and photosystem I (PSI), cyclic electron flow around PSI, and state transitions",C,,1.10.9.1,ko:K02636,"ko00195,ko01100,map00195,map01100",M00162,"R03817,R08409",RC01002,"ko00000,ko00001,ko00002,ko00194,ko01000",,,,"CytB6-F_Fe-S,Rieske",False,,,,False,0.0055,False,,,
SYNPCC7942_RS06320,1253790,1254473,684,-,Synpcc7942_1233,WP_011242631.1,,potassium channel family protein,Ion channel,P,,,,,,,,,,,,Ion_trans_2,False,,,,False,0.0114,False,,,
SYNPCC7942_RS06325,1254739,1255242,504,+,Synpcc7942_1234,WP_011377930.1,ste14,isoprenylcysteine carboxylmethyltransferase family protein,Isoprenylcysteine carboxyl methyltransferase (ICMT) family,O,,,,,,,,,,,,PEMT,False,,,,False,0.0112,False,,,
SYNPCC7942_RS06330,1255757,1257946,2190,-,Synpcc7942_1235,WP_011377931.1,narB,nitrate reductase catalytic subunit,Belongs to the prokaryotic molybdopterin-containing oxidoreductase family,C,"GO:0003674,GO:0003824,GO:0003954,GO:0005488,GO:0008150,GO:0008152,GO:0016491,GO:0016651,GO:0048037,GO:0051536,GO:0051540,GO:0055114",1.7.7.2,ko:K00367,"ko00910,ko01120,map00910,map01120",M00531,R00791,RC02812,"ko00000,ko00001,ko00002,ko01000",,,,"Molybdop_Fe4S4,Molybdopterin,Molydop_binding",False,,,,False,0.007,False,,,
SYNPCC7942_RS06335,1258144,1258968,825,-,Synpcc7942_1236,WP_011242628.1,nrtD,nitrate ABC transporter ATP-binding protein,"ABC-type nitrate sulfonate bicarbonate transport system, ATPase component",P,,,"ko:K15578,ko:K15579","ko00910,ko02010,map00910,map02010",M00438,,,"ko00000,ko00001,ko00002,ko01000,ko02000","3.A.1.16.1,3.A.1.16.2",,,"AAA_assoc_C,ABC_tran",False,,,,False,0.0143,False,,,
SYNPCC7942_RS06340,1258978,1260957,1980,-,Synpcc7942_1237,WP_011242627.1,nrtC,nitrate ABC transporter ATP-binding protein,TIGRFAM nitrate transport ATP-binding subunits C and D,P,,,ko:K15578,"ko00910,ko02010,map00910,map02010",M00438,,,"ko00000,ko00001,ko00002,ko01000,ko02000",3.A.1.16.1,,,"ABC_tran,NMT1_2",False,,,,False,0.0149,False,,,
SYNPCC7942_RS06345,1260972,1261811,840,-,Synpcc7942_1238,WP_011242626.1,ntrB,nitrate ABC transporter permease,Permease protein,P,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",,"ko:K11951,ko:K15577","ko00910,ko02010,map00910,map02010","M00321,M00438",,,"ko00000,ko00001,ko00002,ko02000","3.A.1.16.1,3.A.1.16.2,3.A.1.16.3",,,BPD_transp_1,False,,,,False,0.0095,False,,,
SYNPCC7942_RS06350,1261868,1263199,1332,-,Synpcc7942_1239,WP_011242625.1,nrtA,ABC transporter substrate-binding protein,NMT1-like family,P,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",,ko:K15576,"ko00910,ko02010,map00910,map02010",M00438,,,"ko00000,ko00001,ko00002,ko02000","3.A.1.16.1,3.A.1.16.2",,,NMT1_2,False,,,,False,0.0084,False,,,
SYNPCC7942_RS06355,1263263,1264801,1539,-,Synpcc7942_1240,WP_011242624.1,nirA,ferredoxin--nitrite reductase,Belongs to the nitrite and sulfite reductase 4Fe-4S domain family,C,,1.7.7.1,ko:K00366,"ko00910,ko01120,map00910,map01120",M00531,R00790,RC00176,"ko00000,ko00001,ko00002,ko01000",,,,"Fer2,NIR_SIR,NIR_SIR_ferr",False,,,,False,0.0051,False,,,
SYNPCC7942_RS06360,1265088,1266137,1050,+,Synpcc7942_1241,WP_011242623.1,nirB,HEAT repeat domain-containing protein,deoxyhypusine monooxygenase activity,C,,,,,,,,,,,,HEAT_2,False,,,,False,0.011,False,,,
SYNPCC7942_RS06365,1266128,1267057,930,+,Synpcc7942_1242,WP_011242622.1,ntcB,LysR family transcriptional regulator,transcriptional,K,"GO:0000976,GO:0000984,GO:0000986,GO:0000987,GO:0001017,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0043565,GO:0044212,GO:0044424,GO:0044444,GO:0044464,GO:0097159,GO:1901363,GO:1990837",,,,,,,,,,,"HTH_1,LysR_substrate",True,PF00126.26,HTH_1,GLTC_BACSU,True,0.9994,True,OCS,LysR,"Transcription factor, LysR family contains 1 HTH_1,1 LysR_substrate"
SYNPCC7942_RS14005,1267114,1267269,156,-,,WP_155813857.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0006,False,,,
SYNPCC7942_RS06370,1267422,1268117,696,-,Synpcc7942_1243,WP_011242621.1,crp1,Crp/Fnr family transcriptional regulator,"Transcriptional regulator, Crp Fnr family",K,,,ko:K10914,"ko02020,ko02024,ko02025,ko02026,ko05111,map02020,map02024,map02025,map02026,map05111",,,,"ko00000,ko00001,ko03000",,,,"HTH_Crp_2,cNMP_binding",True,PF13545.5,HTH_Crp_2,CRP_ECO57,True,0.9984,False,,,
SYNPCC7942_RS06375,1268347,1269663,1317,+,Synpcc7942_1244,WP_155814006.1,,ABC transporter ATP-binding protein,"ABC-type polysaccharide polyol phosphate transport system, ATPase component",GM,,,ko:K09691,"ko02010,map02010",M00250,,,"ko00000,ko00001,ko00002,ko02000",3.A.1.103,,,"ABC_tran,Wzt_C",False,,,,False,0.007,False,,,
SYNPCC7942_RS06380,1270001,1270345,345,+,Synpcc7942_1245,WP_011377933.1,abcT3,AAA-associated domain-containing protein,C-terminal AAA-associated domain,P,,,ko:K02049,,M00188,,,"ko00000,ko00002,ko02000","3.A.1.16,3.A.1.17",,,"AAA_assoc_C,ABC_tran",False,,,,False,0.0095,False,,,
SYNPCC7942_RS06385,1270803,1272317,1515,+,Synpcc7942_1246,WP_011377934.1,crtH,carotene isomerase,isomerase,Q,,5.2.1.13,ko:K09835,"ko00906,ko01100,ko01110,map00906,map01100,map01110",M00097,R07512,RC01960,"ko00000,ko00001,ko00002,ko01000",,,,Amino_oxidase,False,,,,False,0.004,False,,,
SYNPCC7942_RS06390,1272322,1272561,240,+,Synpcc7942_1247,WP_011242617.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0145,False,,,
SYNPCC7942_RS06395,1272551,1273123,573,+,Synpcc7942_1248,WP_011377935.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0053,False,,,
SYNPCC7942_RS06400,1273621,1273755,135,-,Synpcc7942_1249,WP_011242615.1,psaJ,photosystem I reaction center subunit IX,May help in the organization of the PsaE and PsaF subunits,S,,,ko:K02697,"ko00195,ko01100,map00195,map01100",,,,"ko00000,ko00001,ko00194",,,iJN678.psaJ,PSI_PsaJ,False,,,,False,0.0051,False,,,
SYNPCC7942_RS06405,1273781,1274260,480,-,Synpcc7942_1250,WP_011242614.1,psaF,photosystem I reaction center subunit III,Photosystem I reaction center subunit III,S,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0009521,GO:0009522,GO:0009579,GO:0016020,GO:0030075,GO:0030094,GO:0032991,GO:0034357,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044422,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0071944,GO:0098796,GO:0098797",,ko:K02694,"ko00195,ko01100,map00195,map01100",M00163,,,"ko00000,ko00001,ko00002,ko00194",,,,PSI_PsaF,False,,,,False,0.0071,False,,,
SYNPCC7942_RS06410,1274438,1275487,1050,+,Synpcc7942_1251,WP_011242613.1,tsaD,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,"Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Is involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37, together with TsaE and TsaB. TsaD likely plays a direct catalytic role in this reaction",J,"GO:0000408,GO:0002949,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0032991,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0046483,GO:0070525,GO:0071704,GO:0090304,GO:1901360",2.3.1.234,ko:K01409,,,R10648,"RC00070,RC00416","ko00000,ko01000,ko03016",,,,Peptidase_M22,False,,,,False,0.0107,False,,,
SYNPCC7942_RS06415,1275556,1276833,1278,+,Synpcc7942_1252,WP_011377936.1,,metallophosphoesterase,Calcineurin-like phosphoesterase superfamily domain,L,,,ko:K03547,,,,,"ko00000,ko03400",,,,Metallophos,False,,,,False,0.0098,False,,,
SYNPCC7942_RS06420,1276940,1277221,282,-,Synpcc7942_1253,WP_011377937.1,,hypothetical protein,,X,,,,,,,,,,,,,False,,,,False,0.0072,False,,,
SYNPCC7942_RS06425,1277460,1277855,396,+,Synpcc7942_1254,WP_011242611.1,,cyclic nucleotide-binding domain-containing protein,COG0664 cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases,T,,,,,,,,,,,,cNMP_binding,False,,,,False,0.0158,False,,,
SYNPCC7942_RS06430,1277852,1279015,1164,-,Synpcc7942_1255,WP_011242610.1,cefD,aminotransferase class V-fold PLP-dependent enzyme,L-cysteine cystine lyase,E,,5.1.1.17,"ko:K04127,ko:K11325","ko00311,ko01100,ko01130,map00311,map01100,map01130",M00673,R04147,RC00302,"ko00000,ko00001,ko00002,ko01000",,,,Aminotran_5,False,,,,False,0.0084,False,,,
SYNPCC7942_RS06435,1279079,1279633,555,+,Synpcc7942_1256,WP_011242609.1,gst,glutathione S-transferase family protein,Glutathione S-transferase,O,,2.5.1.18,"ko:K00799,ko:K11209","ko00480,ko00980,ko00982,ko00983,ko01524,ko05200,ko05204,ko05225,ko05418,map00480,map00980,map00982,map00983,map01524,map05200,map05204,map05225,map05418",,"R03522,R07002,R07003,R07004,R07023,R07024,R07025,R07026,R07069,R07070,R07083,R07084,R07091,R07092,R07093,R07094,R07100,R07113,R07116,R08280,R09409,R11905","RC00004,RC00069,RC00840,RC00948,RC01704,RC01705,RC01706,RC01758,RC01759,RC01765,RC01767,RC01769,RC02243,RC02527,RC02939,RC02940,RC02942,RC02943,RC02944","ko00000,ko00001,ko01000,ko02000","1.A.12.2.2,1.A.12.3.2",,,"GST_C,GST_C_2,GST_C_3,GST_N",False,,,,False,0.0084,False,,,
SYNPCC7942_RS06440,1279685,1281532,1848,+,Synpcc7942_1257,WP_011377938.1,,chloride channel protein,Chloride channel,P,,,,,,,,,,,,"CBS,Voltage_CLC",False,,,,False,0.0049,False,,,
SYNPCC7942_RS06445,1281532,1281945,414,+,Synpcc7942_1258,WP_011377939.1,,DUF2358 domain-containing protein,Uncharacterized conserved protein (DUF2358),S,,,,,,,,,,,,DUF2358,False,,,,False,0.0395,False,,,
SYNPCC7942_RS06450,1281993,1283171,1179,+,Synpcc7942_1259,WP_011377940.1,,TRC40/GET3/ArsA family transport-energizing ATPase,Anion-transporting ATPase,P,,3.6.3.16,ko:K01551,,,,,"ko00000,ko01000,ko02000","3.A.19.1,3.A.21.1,3.A.4.1",,,ArsA_ATPase,False,,,,False,0.0168,False,,,
SYNPCC7942_RS06455,1283244,1284071,828,+,Synpcc7942_1260,WP_011377941.1,,M48 family metallopeptidase,Peptidase family M48,S,,,,,,,,,,,,Peptidase_M48,False,,,,False,0.0076,False,,,
SYNPCC7942_RS06460,1284223,1284951,729,-,Synpcc7942_1261,WP_071818116.1,tpiA,triose-phosphate isomerase,Involved in the gluconeogenesis. Catalyzes stereospecifically the conversion of dihydroxyacetone phosphate (DHAP) to D-glyceraldehyde-3-phosphate (G3P),F,"GO:0003674,GO:0003824,GO:0004807,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005996,GO:0006006,GO:0006066,GO:0006071,GO:0006081,GO:0006082,GO:0006090,GO:0006091,GO:0006094,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016051,GO:0016052,GO:0016053,GO:0016310,GO:0016853,GO:0016860,GO:0016861,GO:0017144,GO:0018130,GO:0019318,GO:0019319,GO:0019359,GO:0019362,GO:0019363,GO:0019400,GO:0019405,GO:0019438,GO:0019439,GO:0019563,GO:0019637,GO:0019682,GO:0019693,GO:0019751,GO:0019752,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042866,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044262,GO:0044270,GO:0044271,GO:0044275,GO:0044281,GO:0044282,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046031,GO:0046034,GO:0046164,GO:0046166,GO:0046174,GO:0046184,GO:0046364,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046939,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1901615,GO:1901616",5.3.1.1,ko:K01803,"ko00010,ko00051,ko00562,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00051,map00562,map00710,map01100,map01110,map01120,map01130,map01200,map01230","M00001,M00002,M00003",R01015,RC00423,"ko00000,ko00001,ko00002,ko01000,ko04147",,,,TIM,False,,,,False,0.0093,False,,,
SYNPCC7942_RS06465,1285028,1286647,1620,-,Synpcc7942_1262,WP_011242603.1,,NAD(P)/FAD-dependent oxidoreductase,FAD-dependent dehydrogenases,S,,,ko:K07137,,,,,ko00000,,,,Pyr_redox_2,False,,,,False,0.0106,False,,,
SYNPCC7942_RS06470,1286711,1287835,1125,-,Synpcc7942_1263,WP_011377943.1,,THUMP domain-containing protein,Belongs to the methyltransferase superfamily,L,"GO:0001510,GO:0003674,GO:0003824,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008168,GO:0008173,GO:0008175,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016423,GO:0016740,GO:0016741,GO:0030488,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360",,ko:K07444,,,,,"ko00000,ko01000",,,,"THUMP,UPF0020",False,,,,False,0.0139,False,,,
SYNPCC7942_RS06475,1287972,1289582,1611,+,Synpcc7942_1264,WP_196794072.1,,sodium:proton antiporter,Sodium/hydrogen exchanger family,P,,,ko:K03316,,,,,ko00000,2.A.36,,,Na_H_Exchanger,False,,,,False,0.0046,False,,,
SYNPCC7942_RS06480,1289545,1290258,714,-,Synpcc7942_1265,WP_011377945.1,,TrkA family potassium uptake protein,TrkA-N domain,P,,,ko:K03499,,,,,"ko00000,ko02000","2.A.38.1,2.A.38.4",,,"TrkA_C,TrkA_N",False,,,,False,0.1994,False,,,
SYNPCC7942_RS06485,1290360,1290953,594,-,Synpcc7942_1266,WP_011377946.1,rdgB,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase,"Pyrophosphatase that catalyzes the hydrolysis of nucleoside triphosphates to their monophosphate derivatives, with a high preference for the non-canonical purine nucleotides XTP (xanthosine triphosphate), dITP (deoxyinosine triphosphate) and ITP. Seems to function as a house-cleaning enzyme that removes non-canonical purine nucleotides from the nucleotide pool, thus preventing their incorporation into DNA RNA and avoiding chromosomal lesions",F,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009141,GO:0009143,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0018130,GO:0019438,GO:0019439,GO:0019637,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046434,GO:0046483,GO:0046700,GO:0047429,GO:0055086,GO:0071704,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901575,GO:1901576",3.6.1.66,ko:K02428,"ko00230,map00230",,"R00426,R00720,R01855,R02100,R02720,R03531",RC00002,"ko00000,ko00001,ko01000",,,,Ham1p_like,False,,,,False,0.0229,False,,,
SYNPCC7942_RS06490,1290950,1291729,780,-,Synpcc7942_1267,WP_011377947.1,,HpsJ family protein,protein involved in exopolysaccharide biosynthesis,M,,,,,,,,,,,,,False,,,,False,0.0089,False,,,
SYNPCC7942_RS06495,1291777,1293231,1455,-,Synpcc7942_1268,WP_011242597.1,,phosphoglucomutase/phosphomannomutase family protein,Phosphoglucomutase phosphomannomutase,G,,,,,,,,,,,,"PGM_PMM_I,PGM_PMM_II,PGM_PMM_III,PGM_PMM_IV",False,,,,False,0.009,False,,,
SYNPCC7942_RS06500,1293542,1294939,1398,+,Synpcc7942_1269,WP_011377948.1,mgtE,magnesium transporter,Acts as a magnesium transporter,P,,,ko:K06213,,,,,"ko00000,ko02000",1.A.26.1,,,"CBS,MgtE,MgtE_N",False,,,,False,0.0087,False,,,
SYNPCC7942_RS06505,1295219,1295425,207,+,Synpcc7942_1270,WP_039755725.1,hli8,hypothetical protein,High light inducible protein,S,,,,,,,,,,,,Chloroa_b-bind,False,,,,False,0.0052,False,,,
SYNPCC7942_RS06510,1295438,1296175,738,-,Synpcc7942_1271,WP_011242595.1,,hypothetical protein,Glycosyl transferase family 8,M,,,,,,,,,,,,Glyco_transf_8,False,,,,False,0.0152,False,,,
SYNPCC7942_RS06515,1296234,1296761,528,-,Synpcc7942_1272,WP_011377950.1,,SRPBCC family protein,Polyketide cyclase / dehydrase and lipid transport,S,,,,,,,,,,,,Polyketide_cyc2,False,,,,False,0.0092,False,,,
SYNPCC7942_RS06520,1296812,1298347,1536,+,Synpcc7942_1273,WP_011377951.1,nnrD,bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase,"Bifunctional enzyme that catalyzes the epimerization of the S- and R-forms of NAD(P)HX and the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. This allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration",H,,"4.2.1.136,5.1.99.6","ko:K17758,ko:K17759",,,,,"ko00000,ko01000",,,,"Carb_kinase,YjeF_N",False,,,,False,0.0073,False,,,
SYNPCC7942_RS06525,1298630,1299157,528,-,Synpcc7942_1274,WP_011242592.1,ycf37,tetratricopeptide repeat protein,COG0457 FOG TPR repeat,S,,,,,,,,,,,,"TPR_1,TPR_2,TPR_7,TPR_8",False,,,,False,0.0081,False,,,
SYNPCC7942_RS06530,1299187,1300350,1164,-,Synpcc7942_1275,WP_011377952.1,,DUF389 domain-containing protein,membrane,S,,,,,,,,,,,,DUF389,False,,,,False,0.0119,False,,,
SYNPCC7942_RS06535,1300381,1301163,783,-,Synpcc7942_1276,WP_011242590.1,glnH,transporter substrate-binding domain-containing protein,Belongs to the bacterial solute-binding protein 3 family,ET,,,"ko:K02030,ko:K09969","ko02010,map02010","M00232,M00236",,,"ko00000,ko00001,ko00002,ko02000","3.A.1.3,3.A.1.3.18,3.A.1.3.7,3.A.1.3.8",,,SBP_bac_3,False,,,,False,0.0113,False,,,
